SENSOR,SCNID,OPEMD,SCN_CDATE,PATHNO,CENFLMNO,REC_CLDSCENE,UCUT,PNTANG,OFFNADIR,REC_ALLQLTY,DLSEGNO,OBTDIR,GSCD,PROOFFLG,ORBITSTAT,FCUT,RCUT,POINTFLG,L0STATUS,TBLNO,SCN_CTIME,SCN_CLAT,SCN_CLON,SCN_POSX,SCN_POSY,SCN_POSZ,SCN_SPDX,SCN_SPDY,SCN_SPDZ,STEERING
PALSAR,ALPSRP059086730,FBS,2007/03/05,98,6730,-,-,-,34.3,-,W0406236001-06,A,HEOC,exclude,Precision,-,-,-,OK,7,03:31:30.093,-22.358,-67.193,2024.819133,-6181.057440,-2793.707909,-0.645335,-3.284152,6.812652,Yes
PALSAR,ALPSRP085926730,FBD,2007/09/05,98,6730,-,-,-,34.3,-,W0590190001-08,A,HEOC,exclude,Precision,-,-,-,OK,43,03:31:17.452,-22.365,-67.195,2024.478833,-6180.926483,-2794.305325,-0.643574,-3.284059,6.812676,Yes
PALSAR,ALPSRP092636730,FBD,2007/10/21,98,6730,-,-,-,34.3,-,W0636190001-05,A,HEOC,exclude,Precision,-,-,-,OK,43,03:31:01.937,-22.365,-67.199,2024.061811,-6180.856345,-2794.204602,-0.643051,-3.284152,6.812828,Yes
PALSAR,ALPSRP106056730,FBS,2008/01/21,98,6730,-,-,-,34.3,-,W0728144001-01,A,TKSC,exclude,Precision,-,-,-,OK,7,03:30:12.793,-22.370,-67.202,2023.656788,-6180.835001,-2794.633945,-0.641800,-3.284070,6.812765,Yes
PALSAR,ALPSRP119476730,FBS,2008/04/22,98,6730,-,-,-,34.3,-,W0820190001-05,A,HEOC,exclude,Precision,-,-,-,OK,7,03:28:49.900,-22.369,-67.207,2023.213932,-6181.221630,-2794.449220,-0.640110,-3.283092,6.813082,Yes
PALSAR,ALPSRP139606730,FBD,2008/09/07,98,6730,-,-,-,34.3,-,W0958190001-07,A,HEOC,exclude,Precision,-,-,-,OK,43,03:28:56.429,-22.355,-67.179,2026.422462,-6180.440011,-2793.683933,-0.649842,-3.285692,6.811904,Yes
PALSAR,ALPSRP146316730,FBD,2008/10/23,98,6730,-,-,-,34.3,-,W1004144001-02,A,HEOC,exclude,Precision,-,-,-,OK,43,03:29:49.186,-22.358,-67.178,2026.552175,-6180.415415,-2794.025415,-0.649079,-3.285936,6.811706,Yes
PALSAR,ALPSRP166446730,FBS,2009/03/10,98,6730,-,-,-,34.3,-,W1142190001-06,A,HEOC,exclude,Precision,-,-,-,OK,7,03:31:49.929,-22.361,-67.186,2025.607565,-6180.657046,-2794.095507,-0.646993,-3.285187,6.812094,Yes
PALSAR,ALPSRP193286730,FBD,2009/09/10,98,6730,-,-,-,34.3,-,W1326190001-05,A,HEOC,exclude,Precision,-,-,-,OK,43,03:33:04.847,-22.361,-67.193,2024.892093,-6180.775805,-2793.890649,-0.645554,-3.284540,6.812595,Yes
PALSAR,ALPSRP199996730,FBD,2009/10/26,98,6730,-,-,-,34.3,-,W1372144001-02,A,HEOC,exclude,Precision,-,-,-,OK,43,03:33:10.752,-22.361,-67.195,2024.662583,-6181.059720,-2793.928404,-0.645117,-3.284320,6.812487,Yes
PALSAR,ALPSRP220126730,FBS,2010/03/13,98,6730,-,-,-,34.3,-,A1510098001-01,A,TDRS,exclude,Precision,-,-,-,OK,7,03:32:49.134,-22.365,-67.200,2024.150439,-6181.019705,-2794.157637,-0.642777,-3.283827,6.812754,Yes
PALSAR,ALPSRP226836730,FBS,2010/04/28,98,6730,-,-,-,34.3,-,A1556098001-01,A,TDRS,exclude,Precision,-,-,-,OK,7,03:32:26.452,-22.380,-67.200,2023.703815,-6180.418896,-2795.923828,-0.641802,-3.285334,6.811960,Yes
PALSAR,ALPSRP233546730,FBD,2010/06/13,98,6730,-,-,-,34.3,-,A1602098002-01,A,TDRS,exclude,Precision,-,-,-,OK,43,03:32:00.088,-22.368,-67.205,2023.473375,-6181.143345,-2794.475067,-0.642312,-3.283752,6.812779,Yes
PALSAR,ALPSRP240256730,FBD,2010/07/29,98,6730,-,-,-,34.3,-,A1648098003-01,A,TDRS,exclude,Precision,-,-,-,OK,43,03:31:30.585,-22.365,-67.205,2023.601776,-6181.173324,-2794.155478,-0.641974,-3.283460,6.813083,Yes
PALSAR,ALPSRP253676730,FBD,2010/10/29,98,6730,-,-,-,34.3,-,A1740098002-01,A,TDRS,exclude,Precision,-,-,-,OK,43,03:30:14.827,-22.370,-67.209,2023.004265,-6181.178659,-2794.517939,-0.640776,-3.283477,6.812946,Yes
PALSAR,ALPSRP267096730,FBS,2011/01/29,98,6730,-,-,-,34.3,-,A1832098004-01,A,TDRS,exclude,Precision,-,-,-,OK,7,03:28:33.665,-22.370,-67.214,2022.551643,-6181.346549,-2794.386406,-0.639559,-3.282929,6.813215,Yes
PALSAR,ALPSRP273806730,FBS,2011/03/16,98,6730,-,-,-,34.3,-,A1878098002-01,A,TDRS,exclude,Precision,-,-,-,OK,7,03:27:29.348,-22.387,-67.210,2022.649645,-6180.469952,-2796.294436,-0.637790,-3.284664,6.812628,Yes
